time,size,AtoB,AtoC,AtoD
57.325,722,2.6444e-2,2.6449315447e-2,5.7225315447e-2
57.5055,194,2.5388e-2,2.5394914407e-2,5.1946914407e-2
57.554,242,2.5484e-2,2.5487086524e-2,5.2423086524e-2
57.6145,242,2.5484e-2,2.5487440464e-2,5.2423440464e-2
57.675,242,2.5484e-2,2.549344345e-2,5.242944345e-2
57.7355,626,7.2136761959e-2,7.214376147e-2,0.10215176147
57.892,914,2.6828e-2,2.6831776532e-2,5.9143776532e-2
58.1205,1298,2.7596e-2,2.7602173016e-2,6.2986173016e-2
58.445,674,4.6279441172e-2,4.6284508424e-2,0.105285998446
58.6135,1490,2.798e-2,2.7988101647e-2,6.4908101647e-2
58.986,482,7.3168241156e-2,7.3174990451e-2,0.102030990451
59.1065,146,2.5292e-2,2.5299308182e-2,5.1467308182e-2
59.143,242,2.5484e-2,2.5493408835e-2,5.2429408835e-2
59.2035,386,5.0983064144e-2,5.0992008637e-2,7.9080008637e-2
59.3,386,2.5772e-2,2.5773338063e-2,5.3861338063e-2
59.3965,626,2.6252e-2,2.6261369773e-2,5.6269369773e-2
59.553,146,2.5292e-2,2.5296315304e-2,
59.5895,1058,2.7116e-2,2.7117474332e-2,6.0581474332e-2
59.854,1490,2.798e-2,2.7989908785e-2,6.4909908785e-2
60.2265,818,2.6636e-2,2.6637476175e-2,5.8181476175e-2
60.431,482,2.5964e-2,2.5965211929e-2,5.4821211929e-2
60.5515,674,2.6348e-2,2.63549361e-2,5.67469361e-2
60.72,338,2.5676e-2,2.5685301127e-2,5.3389301127e-2
60.8045,626,2.6252e-2,2.6260688499e-2,0.122528169511
60.961,482,2.5964e-2,2.5967509667e-2,5.4823509667e-2
61.0815,98,,,
61.106,770,2.654e-2,2.6542798046e-2,5.7702798046e-2
61.2985,1346,2.7692e-2,2.7694801193e-2,6.3462801193e-2
61.635,1202,2.7404e-2,2.7408231992e-2,6.2024231992e-2
61.9355,1394,2.7788e-2,2.7793580173e-2,6.3945580173e-2
62.284,770,2.654e-2,2.6545271968e-2,5.7705271968e-2
62.4765,1442,2.7884e-2,2.7887584229e-2,6.4423584229e-2
62.837,770,2.654e-2,2.6548035146e-2,5.7708035146e-2
63.0295,338,2.5676e-2,2.5677002278e-2,5.3381002278e-2
63.114,98,2.5196e-2,2.5197229163e-2,9.9040722466e-2
63.1385,1298,2.7596e-2,2.7604470829e-2,6.2988470829e-2
63.463,98,5.3956347515e-2,5.3962512002e-2,7.9746512002e-2
63.4875,50,2.51e-2,2.5104485999e-2,5.0504485999e-2
63.5,530,2.606e-2,2.6063985004e-2,5.5303985004e-2
63.6325,1490,2.798e-2,2.7984422473e-2,6.4904422473e-2
64.005,722,2.6444e-2,2.6448264981e-2,5.7224264981e-2
64.1855,1154,2.7308e-2,2.7316495442e-2,6.1548495442e-2
64.474,146,2.5292e-2,2.5300640775e-2,5.1468640775e-2
64.5105,578,2.6156e-2,2.6165547366e-2,5.5789547366e-2
64.655,1346,2.7692e-2,2.7697521183e-2,6.3465521183e-2
64.9915,818,2.6636e-2,2.66448253e-2,5.81888253e-2
